event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB17TTUASU,Texas Tech at Arizona St.,Texas Tech,Arizona St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB20CPHAW,Cal Poly at Hawai'i,Cal Poly,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13GWSLU,George Washington at Saint Louis,George Washington,Saint Louis,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN06MICHPSU,Michigan at Penn St.,Michigan,Penn St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB09XAVSJU,Xavier at St. John's,Xavier,St. John's,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR14MISSARK,Ole Miss at Arkansas,Ole Miss,Arkansas,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13OKLAARK,Oklahoma at Arkansas,Oklahoma,Arkansas,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB16SYRDUKE,Syracuse at Duke,Syracuse,Duke,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR06MOHOHIO,Miami (OH) at Ohio,Miami (Ohio),Ohio,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB11MICHNW,Michigan at Northwestern,Michigan,Northwestern,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR03KUASU,Kansas at Arizona St.,Kansas,Arizona St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12FSUDUKE,Florida St. at Duke,Florida St.,Duke,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10NEBIND,Nebraska at Indiana,Nebraska,Indiana,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13MISSALA,Ole Miss at Alabama,Ole Miss,Alabama,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10BYUUTAH,BYU at Utah,BYU,Utah,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12MASSMOH,UMass at Miami (OH),UMass,Miami (Ohio),mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20UNLVUSU,UNLV at Utah St.,UNLV,Utah St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB13MASSAKR,UMass at Akron,UMass,Akron,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN29HAWUCI,Hawai'i at UC Irvine,Hawaii,UC Irvine,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN18WICHUSF,Wichita St. at South Florida,Wichita St.,South Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21UKAUB,Kentucky at Auburn,Kentucky,Auburn,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN31INDUCLA,Indiana at UCLA,Indiana,UCLA,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN07CONNPROV,UConn at Providence,UConn,Providence,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN13VILLPROV,Villanova at Providence,Villanova,Providence,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28BAYUCF,Baylor at UCF,Baylor,UCF,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14ASUARIZ,Arizona St. at Arizona,Arizona St.,Arizona,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN27MSURUTG,Michigan St. at Rutgers,Michigan St.,Rutgers,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR14DAYSLU,Dayton at Saint Louis,Dayton,Saint Louis,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07CONNMARQ,UConn at Marquette,UConn,Marquette,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21UNCSYR,North Carolina at Syracuse,North Carolina,Syracuse,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN27PURIND,Purdue at Indiana,Purdue,Indiana,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB24ARIZBAY,Arizona at Baylor,Arizona,Baylor,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07TXAMLSU,Texas A&M at LSU,Texas A&M,LSU,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB04GONZPORT,Gonzaga at Portland,Gonzaga,Portland,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17VILLXAV,Villanova at Xavier,Villanova,Xavier,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12AUBTENN,Auburn at Tennessee,Auburn,Tennessee,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24AUBFLA,Auburn at Florida,Auburn,Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB25WISORE,Wisconsin at Oregon,Wisconsin,Oregon,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17GTNCST,Georgia Tech at North Carolina St.,Georgia Tech,NC State,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB18CREICONN,Creighton at UConn,Creighton,UConn,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28BYUWVU,BYU at West Virginia,BYU,West Virginia,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14TCUOKST,TCU at Oklahoma St.,TCU,Oklahoma St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07ARIZCOLO,Arizona at Colorado,Arizona,Colorado,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN27ARKOKLA,Arkansas at Oklahoma,Arkansas,Oklahoma,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11CINUCF,Cincinnati at UCF,Cincinnati,UCF,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB11USCOSU,USC at Ohio St.,USC,Ohio St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11MISSTEX,Ole Miss at Texas,Ole Miss,Texas,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24NEBMINN,Nebraska at Minnesota,Nebraska,Minnesota,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR01MSUIND,Michigan St. at Indiana,Michigan St.,Indiana,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07OREPUR,Oregon at Purdue,Oregon,Purdue,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB10BYUBAY,BYU at Baylor,BYU,Baylor,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB11IOWAMD,Iowa at Maryland,Iowa,Maryland,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10IDHOEWU,Idaho at Eastern Washington,Idaho,Eastern Washington,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN08NWMSU,Northwestern at Michigan St.,Northwestern,Michigan St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN27UVAND,Virginia at Notre Dame,Virginia,Notre Dame,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17ISUCIN,Iowa St. at Cincinnati,Iowa St.,Cincinnati,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB04MSUMINN,Michigan St. at Minnesota,Michigan St.,Minnesota,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08LBSUHAW,Long Beach St. at Hawai'i,Long Beach St.,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR14PENNHARV,Penn at Harvard,Penn,Harvard,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN25USCWIS,USC at Wisconsin,USC,Wisconsin,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14COLOBYU,Colorado at BYU,Colorado,BYU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10OKSTISU,Oklahoma St. at Iowa St.,Oklahoma St.,Iowa St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR04PURNW,Purdue at Northwestern,Purdue,Northwestern,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR04BAYHOU,Baylor at Houston,Baylor,Houston,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21CINKU,Cincinnati at Kansas,Cincinnati,Kansas,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10BCLOU,Boston College at Louisville,Boston College,Louisville,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR03VANMISS,Vanderbilt at Ole Miss,Vanderbilt,Ole Miss,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN19JOESVCU,Saint Joseph's at VCU,Saint Joseph's,VCU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20LSUFLA,LSU at Florida,LSU,Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB03MOHBUFF,Miami (OH) at Buffalo,Miami (Ohio),Buffalo,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB15USFFAU,South Florida at Florida Atlantic,South Florida,Florida Atlantic,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12WASHWIS,Washington at Wisconsin,Washington,Wisconsin,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB25PORTGONZ,Portland at Gonzaga,Portland,Gonzaga,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28HALLCONN,Seton Hall at UConn,Seton Hall,UConn,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10UTRGVMCNS,UT Rio Grande Valley at McNeese,UT Rio Grande Valley,McNeese,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20MINNOSU,Minnesota at Ohio St.,Minnesota,Ohio St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12MISSUGA,Ole Miss at Georgia,Ole Miss,Georgia,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB08UCSDHAW,UC San Diego at Hawai'i,UC San Diego,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR09ORSTGONZ,Oregon St. at Gonzaga,Oregon St.,Gonzaga,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB04BYUOKST,BYU at Oklahoma St.,BYU,Oklahoma St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28USCIOWA,USC at Iowa,USC,Iowa,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07OKLATEX,Oklahoma at Texas,Oklahoma,Texas,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB20SIEMRMK,Siena at Merrimack,Siena,Merrimack,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28SFSCU,San Francisco at Santa Clara,San Francisco,Santa Clara,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21FSUCLEM,Florida St. at Clemson,Florida St.,Clemson,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10SYRSMU,Syracuse at SMU,Syracuse,SMU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24LSUARK,LSU at Arkansas,LSU,Arkansas,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN13MARQSJU,Marquette at St. John's,Marquette,St. John's,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11OKSTTCU,Oklahoma St. at TCU,Oklahoma St.,TCU,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB24MINNMICH,Minnesota at Michigan,Minnesota,Michigan,mixed_one_mm_one_not
