event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB13UNLVBSU,UNLV at Boise St.,UNLV,Boise St.,neither_mm
KXNCAAMBGAME-26MAR18JOESCSU,Saint Joseph's at Colorado St.,Saint Joseph's,Colorado St.,neither_mm
KXNCAAMBGAME-26FEB13NCATHAMP,North Carolina A&T at Hampton,North Carolina A&T,Hampton,neither_mm
KXNCAAMBGAME-26MAR13UNTTLSA,North Texas at Tulsa,North Texas,Tulsa,neither_mm
KXNCAAMBGAME-26MAR14UNMSDSU,New Mexico at San Diego St.,New Mexico,San Diego St.,neither_mm
KXNCAAMBGAME-26FEB17BCFSU,Boston College at Florida St.,Boston College,Florida St.,neither_mm
KXNCAAMBGAME-26FEB15BELMURR,Belmont at Murray St.,Belmont,Murray St.,neither_mm
KXNCAAMBGAME-26JAN27GCNEV,Grand Canyon at Nevada,Grand Canyon,Nevada,neither_mm
KXNCAAMBGAME-26MAR10PITTSTAN,Pittsburgh at Stanford,Pittsburgh,Stanford,neither_mm
KXNCAAMBGAME-26FEB11PSUWASH,Penn St. at Washington,Penn St.,Washington,neither_mm
KXNCAAMBGAME-26FEB15HALLBUT,Seton Hall at Butler,Seton Hall,Butler,neither_mm
KXNCAAMBGAME-26MAR17UNLVUCI,UNLV at UC Irvine,UNLV,UC Irvine,neither_mm
KXNCAAMBGAME-26MAR10BAYASU,Baylor at Arizona St.,Baylor,Arizona St.,neither_mm
KXNCAAMBGAME-26FEB10SJSUUNLV,San Jose St. at UNLV,San Jose St.,UNLV,neither_mm
KXNCAAMBGAME-26FEB28NEVUNLV,Nevada at UNLV,Nevada,UNLV,neither_mm
KXNCAAMBGAME-26MAR11DSUMORG,Delaware St. at Morgan St.,Delaware St.,Morgan St.,neither_mm
KXNCAAMBGAME-26MAR04JACBELL,Jacksonville at Bellarmine,Jacksonville,Bellarmine,neither_mm
KXNCAAMBGAME-26JAN13BSUUNLV,Boise St. at UNLV,Boise St.,UNLV,neither_mm
KXNCAAMBGAME-26JAN16CREIPROV,Creighton at Providence,Creighton,Providence,neither_mm
KXNCAAMBGAME-26JAN27WAKEPITT,Wake Forest at Pittsburgh,Wake Forest,Pittsburgh,neither_mm
KXNCAAMBGAME-26MAR04USCWASH,USC at Washington,USC,Washington,neither_mm
KXNCAAMBGAME-26JAN08SFLMU,San Francisco at Loyola Marymount,San Francisco,Loyola Marymount,neither_mm
KXNCAAMBGAME-26JAN21NWUSC,Northwestern at USC,Northwestern,USC,neither_mm
KXNCAAMBGAME-26JAN21SDSUGC,San Diego St. at Grand Canyon,San Diego St.,Grand Canyon,neither_mm
KXNCAAMBGAME-26MAR14CORYALE,Cornell at Yale,Cornell,Yale,neither_mm
KXNCAAMBGAME-26MAR11SJSUBSU,San Jose St. at Boise St.,San Jose St.,Boise St.,neither_mm
