market_id,condition_id,question_id,token_id,question,title,event_id,event_title,event_slug,slug,status,outcomes,volume,liquidity,best_bid,best_ask,last_trade_price,start_date,end_date,team_a,team_b,game_classification,reject_reason
1029750,0x68730687766f5294a9840b6d3b7b57b8040d082dd69cffbcff899610decb8e17,0xe85f7805f085fb0e82210193fa0fe0a8746118291706ee02dc210df318f7e2c5,,,Oregon vs. Texas Tech Red Raiders,125455,Oregon vs. Texas Tech Red Raiders,cfb-ore-txtech-2026-01-01,cfb-ore-txtech-2026-01-01,closed,"[{'label': 'Oregon', 'token_id': '63862073753649885935080463830589655254663805704506413296220636708425522392321', 'predexon_id': 'px-oglypnwywz2x', 'price': 1.0}, {'label': 'Texas Tech Red Raiders', 'token_id': '109720219547713151239071564265228265809829651619804267192682147152166040276656', 'predexon_id': 'px-eb66dxgix63y', 'price': 0.0}]",,,,,,,,Oregon,Texas Tech,mixed_one_mm_one_not,not_cbb
941103,0x94b10c0bfeda43011714c678f959b6c2429adf6bef06d4e1f7703a2b137d6ff0,0x27649478f3db34230e34cd1ef8417450c164ab044335204955e056151bc5d771,,,Alabama vs. Oklahoma,105898,Alabama vs. Oklahoma,cfb-ala-okl-2025-12-19,cfb-ala-okl-2025-12-19,closed,"[{'label': 'Alabama', 'token_id': '70397070945080281371503368041633716131190827582594191712463794311321843229891', 'predexon_id': 'px-6c63rldzzkys', 'price': 1.0}, {'label': 'Oklahoma', 'token_id': '40822607585190461195073710936487425414197193102743166888221781257244481598994', 'predexon_id': 'px-mofqwfga3bx4', 'price': 0.0}]",,,,,,,,Alabama,Oklahoma,mixed_one_mm_one_not,not_cbb
1602245,0x4491df698adf8d361aacc240a34d12e751f51baef01d79d523a4d498baa45fba,0x0b2a543449b1a626440f0ca9fdeb15c7c2209e328641ac1b30fd5f4fcec1885d,,,Missouri Tigers vs. Miami Hurricanes,274192,Missouri Tigers vs. Miami Hurricanes,cbb-missr-mia-2026-03-20,cbb-missr-mia-2026-03-20,closed,"[{'label': 'Missouri Tigers', 'token_id': '5533407621462204419366790705917923676675270766779491181055620828944815843041', 'predexon_id': 'px-i6iuamvra3j3', 'price': 0.0}, {'label': 'Miami Hurricanes', 'token_id': '20405373265263690273095397068448682914028493604888619902586392206352942539171', 'predexon_id': 'px-lcrob4okmv6m', 'price': 1.0}]",,,,,,,,Missouri,Miami Hurricanes,mixed_one_mm_one_not,bad_outcomes
1668974,0x6e98165eba914614002d6462a847867bece25d7dec8c29ec6c77870b6a5b5b15,0x8ff92143c008bb7acadcc06ebde13d740deda90fa1ab986a4289d3f08e36bd9a,,,Miami Hurricanes vs. Purdue Boilermakers,291888,Miami Hurricanes vs. Purdue Boilermakers,cbb-mia-pur-2026-03-22,cbb-mia-pur-2026-03-22,closed,"[{'label': 'Miami Hurricanes', 'token_id': '23174936636582961456223035370231131689912018591533001152034041867256444695541', 'predexon_id': 'px-7ifqjcgrtdpl', 'price': 0.0}, {'label': 'Purdue Boilermakers', 'token_id': '41689876958203396083000604965080212324957511415230803937491891625514739152109', 'predexon_id': 'px-rzernwc25cm3', 'price': 1.0}]",,,,,,,,Miami Hurricanes,Purdue,mixed_one_mm_one_not,bad_outcomes
1029747,0x269b70d13789a587fde5b6482688ae5bb18c8de7e357ec5903c32948454ea849,0x57c5b427d153a65d92c40313e79512774226a62fae7afa8b9888e536a3876dfc,,,Ole Miss vs. Georgia,125454,Ole Miss vs. Georgia,cfb-miss-ga-2026-01-01,cfb-miss-ga-2026-01-01,closed,"[{'label': 'Ole Miss', 'token_id': '61495332530348640979262423024840451050068932850211347033029490398010647228646', 'predexon_id': 'px-vehzm3mjhf5c', 'price': 1.0}, {'label': 'Georgia', 'token_id': '53781894574751442678055586850760815444217119659170124593491912417747358377315', 'predexon_id': 'px-tcwywhidmkj2', 'price': 0.0}]",,,,,,,,Ole Miss,Georgia,mixed_one_mm_one_not,not_cbb
687824,0x3b292e9b57d64a36df92b0c8e9ba1f0c8acb7693922126ef78ab948d7907015f,0x4f62092096dd85c211af4e0972287c9e590240861703e85fbe6db7a83b0cc4bf,,,Missouri vs. Oklahoma,83850,Missouri vs. Oklahoma,cfb-missr-okl-2025-11-22,cfb-missr-okl-2025-11-22,closed,"[{'label': 'Missouri', 'token_id': '90044343820630031456729213931568588592334997977779552543717083517976160910103', 'predexon_id': 'px-nojvd5hrvwes', 'price': 0.0}, {'label': 'Oklahoma', 'token_id': '28423980411476904008854614248955435866625433164028991441359923025185654781979', 'predexon_id': 'px-yqpz53eeyk4l', 'price': 1.0}]",,,,,,,,Missouri,Oklahoma,mixed_one_mm_one_not,not_cbb
635309,0x49afdc2072ba5ddea5f41258aae271afec1f5ccef877f2d1a2f5e8e0f5c3adb8,0x63f01c98fa80dc507800f5a57f1d9a73a378dfe1ca1542e820bc8f718befd1fe,,,Louisville vs. Miami,59326,Louisville vs. Miami,cfb-lou-mia-2025-10-17,cfb-lou-mia-2025-10-17,closed,"[{'label': 'Louisville', 'token_id': '28158942024648163229035544972069470900608454264056085385448902544103259948806', 'predexon_id': 'px-7vbhc3xgmc5c', 'price': 1.0}, {'label': 'Miami', 'token_id': '7829405558695415098933992896472306188032145335278437157264989840913307976331', 'predexon_id': 'px-26sokdmkmtlf', 'price': 0.0}]",,,,,,,,Louisville,Miami,mixed_one_mm_one_not,not_cbb
790758,0x99c6571e36ee889a598ed57dc0cd7c72934e13ccafc739b81ef462536a1bbda8,0x8d5fbfbb5d996ad58103d4586ced979edf663621be397991c263dd0d537015ff,,,Ohio State vs. Indiana,95309,Ohio State vs. Indiana,cfb-ohiost-ind-2025-12-06,cfb-ohiost-ind-2025-12-06,closed,"[{'label': 'Ohio State', 'token_id': '72563027128355945368260722418418949671347248712787387160522591545859181326757', 'predexon_id': 'px-6aqra4e3efmr', 'price': 0.0}, {'label': 'Indiana', 'token_id': '14336133425811262902419451276005441760352776510579560608392953556071846750643', 'predexon_id': 'px-4fhxtlsaipho', 'price': 1.0}]",,,,,,,,Ohio State,Indiana,mixed_one_mm_one_not,not_cbb
1029741,0xbd3a3e46de3aab7d3180e1981269041dac35dc338029568e3d503d9ed51bf446,0xdad22bbe42d0bb7cff5a66378e1888c609c2e5b4f1c156b5bef9e2369b287eb8,,,Miami vs. Ohio State,125452,Miami vs. Ohio State,cfb-mia-ohiost-2025-12-31,cfb-mia-ohiost-2025-12-31,closed,"[{'label': 'Miami', 'token_id': '99093432786402804880099032071467135852496600757661324561038671432812359584511', 'predexon_id': 'px-uxli2twg4apz', 'price': 1.0}, {'label': 'Ohio State', 'token_id': '23471650063393958803671967126227185829114796538841575733768368413094724320080', 'predexon_id': 'px-3e3ukhdn5y4v', 'price': 0.0}]",,,,,,,,Miami,Ohio State,mixed_one_mm_one_not,not_cbb
943842,0x31eafc75bdaa2f9f476774c9e87d05ca8f019a48c5e27b432e58b7271aba0270,0x7d8c60f1f1fe270ccdcab79284639516bf02761ca93f431632da5f9810bda3c5,,,Washington State vs. Utah State,106204,Washington State vs. Utah State,cfb-washst-utahst-2025-12-22,cfb-washst-utahst-2025-12-22,closed,"[{'label': 'Washington State', 'token_id': '73686282727313648870418464663601032970752942706133369297526579912528356075306', 'predexon_id': 'px-umpdtrm3u5kb', 'price': 1.0}, {'label': 'Utah State', 'token_id': '85343758333450929869530077584435877187723811999880175077236708535788614916628', 'predexon_id': 'px-kzyt7emueauq', 'price': 0.0}]",,,,,,,,Washington State,Utah State,mixed_one_mm_one_not,not_cbb
