game_id,matched_game_clean,pair_key,match_method,kalshi_event_ticker,kalshi_market_source_type,kalshi_ticker_1,kalshi_team_1,kalshi_result_1,kalshi_title_1,kalshi_ticker_2,kalshi_team_2,kalshi_result_2,kalshi_title_2,polymarket_event_slug,polymarket_event_title,polymarket_title,polymarket_market_id,polymarket_condition_id,polymarket_question_id,polymarket_team_a,polymarket_team_b,polymarket_clob_token_ids,polymarket_token_id_1,polymarket_token_id_2,polymarket_source,polymarket_market_source_type
MM_GAME_001,Akron vs Texas Tech,Akron || Texas Tech,exact_pair_key,KXNCAAMBGAME-26MAR20AKRTTU,game_winner,KXNCAAMBGAME-26MAR20AKRTTU-AKR,Akron,,Akron at Texas Tech Winner?,KXNCAAMBGAME-26MAR20AKRTTU-TTU,Texas Tech,,Akron at Texas Tech Winner?,cbb-akron-txtech-2026-03-20,Akron Zips vs. Texas Tech Red Raiders,Akron Zips vs. Texas Tech Red Raiders,1602165,0x04c109837e9c83aa410e4a1bfa32d5574b05fafd0a432514965c03a20e2511a6,0x2a1fabde27162ce5f1227a76b5e1460458bb50757cf5b9cbfe3a84fedc0a1a54,Akron,Texas Tech,"[""105015751806411093867366456953350999512252519399462229009921348002493556208921"", ""79308286211285981481697518081271815960844799414039636458581868757032388361925""]",105015751806411093867366456953350999512252519399462229009921348002493556208921,79308286211285981481697518081271815960844799414039636458581868757032388361925,predexon_polymarket_candidates,game_winner
MM_GAME_002,Alabama vs Hofstra,Alabama || Hofstra,exact_pair_key,KXNCAAMBGAME-26MAR20HOFALA,game_winner,KXNCAAMBGAME-26MAR20HOFALA-ALA,Alabama,yes,Hofstra at Alabama Winner?,KXNCAAMBGAME-26MAR20HOFALA-HOF,Hofstra,no,Hofstra at Alabama Winner?,cbb-hofst-ala-2026-03-20,Hofstra Pride vs. Alabama Crimson Tide,Hofstra Pride vs. Alabama Crimson Tide,1602175,0x553fc3e6702408b07899e79cc490d34d3d01ab1cecb61ce0d27fce12232f3ac8,0x9d9cbb2ed399d7f5bbf8962b4800c48da5d984afe611f38ceecc24cbf3914521,Hofstra,Alabama,"[""29049461839578908236523492739355178159371369103001808454443054866483894885322"", ""76341225335584030858099123253090069370153706642291968639596138457391093565914""]",29049461839578908236523492739355178159371369103001808454443054866483894885322,76341225335584030858099123253090069370153706642291968639596138457391093565914,predexon_polymarket_candidates,game_winner
MM_GAME_003,Alabama vs Michigan,Alabama || Michigan,exact_pair_key,KXNCAAMBGAME-26MAR27ALAMICH,game_winner,KXNCAAMBGAME-26MAR27ALAMICH-ALA,Alabama,no,Alabama at Michigan Winner?,KXNCAAMBGAME-26MAR27ALAMICH-MICH,Michigan,yes,Alabama at Michigan Winner?,cbb-ala-mich-2026-03-27,Alabama Crimson Tide vs. Michigan Wolverines,Alabama Crimson Tide vs. Michigan Wolverines,1688876,0x682ec1e399ff437b2e0cf7bd7e6df650916186829dfa1112f2f2e81a402ece30,0x3167f286eae1e868f0b65c1a53b540d937ca834437cfbf194e1474bbbf263123,Alabama,Michigan,"[""31058028660405173173651315689025730539994483848792849474560279252203011850319"", ""84031203592002917334262470868576093775510312558710425317269896203693659940128""]",31058028660405173173651315689025730539994483848792849474560279252203011850319,84031203592002917334262470868576093775510312558710425317269896203693659940128,predexon_polymarket_candidates,game_winner
MM_GAME_004,Alabama vs Texas Tech,Alabama || Texas Tech,exact_pair_key,KXNCAAMBGAME-26MAR22TTUALA,game_winner,KXNCAAMBGAME-26MAR22TTUALA-ALA,Alabama,yes,Texas Tech at Alabama Winner?,KXNCAAMBGAME-26MAR22TTUALA-TTU,Texas Tech,no,Texas Tech at Alabama Winner?,cbb-txtech-ala-2026-03-22,Texas Tech Red Raiders vs. Alabama Crimson Tide,Texas Tech Red Raiders vs. Alabama Crimson Tide,1665981,0x261619a081b347ff183cc4b315647ee98e6645552f65bbeffe15cc83a9d07d26,0xb9750cb1ae68766decae95a1f0d9720afe0b876710e1a5862a801f90cce67a9b,Texas Tech,Alabama,"[""59225215309188916427944200110830336195483543653081163898421203368708527905722"", ""112201305494939841914583054299554432971828381305109997042373499077388134270274""]",59225215309188916427944200110830336195483543653081163898421203368708527905722,112201305494939841914583054299554432971828381305109997042373499077388134270274,predexon_polymarket_candidates,game_winner
MM_GAME_005,Arizona vs Arkansas,Arizona || Arkansas,exact_pair_key,KXNCAAMBGAME-26MAR26ARKARIZ,game_winner,KXNCAAMBGAME-26MAR26ARKARIZ-ARIZ,Arizona,yes,Arkansas at Arizona Winner?,KXNCAAMBGAME-26MAR26ARKARIZ-ARK,Arkansas,no,Arkansas at Arizona Winner?,cbb-ark-arz-2026-03-26,Arkansas Razorbacks vs. Arizona Wildcats,Arkansas Razorbacks vs. Arizona Wildcats,1688000,0x0846ea47be5f14e6dca27e14581d79c09583ca653719ce37dc054494e3997952,0xa4c223fa30ccc78f8f36643b6b908966dce897475d4f7f61c6d3e7a47cb2bbb0,Arkansas,Arizona,"[""41100365308798661859145040199494781670056892400248239396610536912652520057776"", ""82191725722679457478728557018601391881404208647693525967471584875912376235549""]",41100365308798661859145040199494781670056892400248239396610536912652520057776,82191725722679457478728557018601391881404208647693525967471584875912376235549,predexon_polymarket_candidates,game_winner
MM_GAME_006,Arizona vs Long Island,Arizona || Long Island,exact_pair_key,KXNCAAMBGAME-26MAR20LIUARIZ,game_winner,KXNCAAMBGAME-26MAR20LIUARIZ-ARIZ,Arizona,yes,LIU at Arizona Winner?,KXNCAAMBGAME-26MAR20LIUARIZ-LIU,Long Island,no,LIU at Arizona Winner?,cbb-liub-arz-2026-03-20,LIU Sharks vs. Arizona Wildcats,LIU Sharks vs. Arizona Wildcats,1602240,0xf5874f9c3df03935b16aea2f2606f28160a5ed410b1a433fd5e16cbb8326a1a8,0xbb5899e6d846b51dc31cd96efc8efee112397ca8555011d584885340dec9d1f5,Long Island,Arizona,"[""4913730361920920558781272693126281406435302316350570006478823349891310491549"", ""9409490930224923614822487614966291700996606300666789458000739662899013820681""]",4913730361920920558781272693126281406435302316350570006478823349891310491549,9409490930224923614822487614966291700996606300666789458000739662899013820681,predexon_polymarket_candidates,game_winner
MM_GAME_007,Arizona vs Michigan,Arizona || Michigan,exact_pair_key,KXNCAAMBGAME-26APR04MICHARIZ,game_winner,KXNCAAMBGAME-26APR04MICHARIZ-ARIZ,Arizona,no,Michigan at Arizona Winner?,KXNCAAMBGAME-26APR04MICHARIZ-MICH,Michigan,yes,Michigan at Arizona Winner?,cbb-arz-mich-2026-04-04,Arizona Wildcats vs. Michigan Wolverines,Arizona Wildcats vs. Michigan Wolverines,1782751,0x05eec7f96b04c81dfee7ebf538409e0e6c7be08b7c6bd69bad3b02b6f160dfe0,0xf29a0804a2140b7f57be41cb3351bd9cbef2ef786b96df2cdb77560d486e9a47,Arizona,Michigan,"[""44766497521417298224542775684305151578865412839932497569295014747238754685930"", ""20996999543007691583276658905733278225425842004273126945333981068139574656671""]",44766497521417298224542775684305151578865412839932497569295014747238754685930,20996999543007691583276658905733278225425842004273126945333981068139574656671,predexon_polymarket_candidates,game_winner
MM_GAME_008,Arizona vs Purdue,Arizona || Purdue,exact_pair_key,KXNCAAMBGAME-26MAR28PURARIZ,game_winner,KXNCAAMBGAME-26MAR28PURARIZ-ARIZ,Arizona,yes,Purdue at Arizona Winner?,KXNCAAMBGAME-26MAR28PURARIZ-PUR,Purdue,no,Purdue at Arizona Winner?,cbb-pur-arz-2026-03-28,Purdue Boilermakers vs. Arizona Wildcats,Purdue Boilermakers vs. Arizona Wildcats,1739838,0x7e0a944a6f318025ac3847a05a5081a73c84850facdc2ea3a784962a89737fa4,0x6c996273ba17ab39511049f02d9ac1e88ec3621f4615da180227de71a3f406b4,Purdue,Arizona,"[""78514933453541516935187387600874432418436460096129547384891808930037790284911"", ""64024535238733125841763079646903083308933520686600379980978305341937621090800""]",78514933453541516935187387600874432418436460096129547384891808930037790284911,64024535238733125841763079646903083308933520686600379980978305341937621090800,predexon_polymarket_candidates,game_winner
MM_GAME_009,Arizona vs Utah State,Arizona || Utah State,exact_pair_key,KXNCAAMBGAME-26MAR22USUARIZ,game_winner,KXNCAAMBGAME-26MAR22USUARIZ-ARIZ,Arizona,yes,Utah St. at Arizona Winner?,KXNCAAMBGAME-26MAR22USUARIZ-USU,Utah State,no,Utah St. at Arizona Winner?,cbb-utahst-arz-2026-03-22,Utah State Aggies vs. Arizona Wildcats,Utah State Aggies vs. Arizona Wildcats,1666743,0xd7313599d51c113b0101ffb4405dd6a788744a96bb5e405c6317d4a11b4f3904,0x502105f23af3ad66e4182f4b44f3f274410fb87e2a60418a28352095efd4cf3d,Utah State,Arizona,"[""97375804516138919402368296257548460708782641123645973538856878198805504642693"", ""36807159030821860432748331861018561546226753937211485581292983482466573301303""]",97375804516138919402368296257548460708782641123645973538856878198805504642693,36807159030821860432748331861018561546226753937211485581292983482466573301303,predexon_polymarket_candidates,game_winner
MM_GAME_010,Arkansas vs Hawaii,Arkansas || Hawaii,exact_pair_key,KXNCAAMBGAME-26MAR19HAWARK,game_winner,KXNCAAMBGAME-26MAR19HAWARK-ARK,Arkansas,yes,Hawai'i at Arkansas Winner?,KXNCAAMBGAME-26MAR19HAWARK-HAW,Hawaii,no,Hawai'i at Arkansas Winner?,cbb-hawaii-ark-2026-03-19,Hawaii Rainbow Warriors vs. Arkansas Razorbacks,Hawaii Rainbow Warriors vs. Arkansas Razorbacks,1602031,0x231c6c3ccff8c6872ef2d2795a70799a8483b97adab86b0adb7e0abb52e65554,0xcbd007b8290e7618770442be91cfe2c771079e3fee125afc98fdb0ac6c719bdd,Hawaii,Arkansas,"[""111285681397453829083749098730190303781369482965681151498085797450573114783420"", ""91305714843440087528678011601178789708752825938382623719554889290326802694751""]",111285681397453829083749098730190303781369482965681151498085797450573114783420,91305714843440087528678011601178789708752825938382623719554889290326802694751,polymarket_gamma_slug,game_winner
