away_team,away_team_clean,close_time,determination_time,dollar_open_interest,dollar_volume,event_series_ticker,event_subtitle,event_ticker,event_title,expected_expiration_time,expiration_time,game,game_classification,game_clean,home_team,home_team_clean,last_price,market_id,market_source_type,no_ask,no_bid,no_subtitle,open_interest,open_time,opponent,opponent_clean,platform,result,round,settlement_time,status,team,team_clean,ticker,title,volume,yes_ask,yes_bid,yes_subtitle
UMBC,UMBC,2026-03-18T00:57:15Z,2026-03-18T00:57:17Z,1926191,3716241,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR17UMBCHOW,UMBC at Howard,2026-03-17T20:00:00Z,,UMBC vs Howard,both_mm,UMBC vs Howard,Howard,Howard,0.99,13e36094-c26e-4f10-b14e-d5ec9f771f04,game_winner,,,Howard,3852382,2026-03-15T23:15:00Z,UMBC,UMBC,kalshi,yes,,2026-03-18T01:02:19Z,closed,Howard,Howard,KXNCAAMBGAME-26MAR17UMBCHOW-HOW,UMBC at Howard Winner?,7432482,,,Howard
UMBC,UMBC,2026-03-18T00:57:15Z,2026-03-18T00:57:17Z,3356955,5967184,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR17UMBCHOW,UMBC at Howard,2026-03-17T20:00:00Z,,UMBC vs Howard,both_mm,UMBC vs Howard,Howard,Howard,0.01,3c6e9cd9-9b4d-4aca-9bf7-1f20b61e93d6,game_winner,,,UMBC,6713910,2026-03-15T23:15:00Z,Howard,Howard,kalshi,no,,2026-03-18T01:02:19Z,closed,UMBC,UMBC,KXNCAAMBGAME-26MAR17UMBCHOW-UMBC,UMBC at Howard Winner?,11934368,,,UMBC
Prairie View A&M,Prairie View A&M,2026-03-19T00:46:02Z,2026-03-19T00:46:04Z,2294867,4233230,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR18PVLEH,Prairie View A&M at Lehigh,2026-03-18T20:00:00Z,,Prairie View A&M vs Lehigh,both_mm,Prairie View A&M vs Lehigh,Lehigh,Lehigh,0.01,9eda2215-3527-4665-9a3c-99d5deeff310,game_winner,,,Lehigh,4589734,2026-03-15T23:15:00Z,Prairie View A&M,Prairie View A&M,kalshi,no,,2026-03-19T00:51:11Z,closed,Lehigh,Lehigh,KXNCAAMBGAME-26MAR18PVLEH-LEH,Prairie View A&M at Lehigh Winner?,8466460,,,Lehigh
Prairie View A&M,Prairie View A&M,2026-03-19T00:46:02Z,2026-03-19T00:46:04Z,1991181,3816508,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR18PVLEH,Prairie View A&M at Lehigh,2026-03-18T20:00:00Z,,Prairie View A&M vs Lehigh,both_mm,Prairie View A&M vs Lehigh,Lehigh,Lehigh,0.99,1d96af16-ee0c-4341-b75b-9fbbe8ab22fd,game_winner,,,Prairie View A&M,3982362,2026-03-15T23:15:00Z,Lehigh,Lehigh,kalshi,yes,,2026-03-19T00:51:11Z,closed,Prairie View A&M,Prairie View A&M,KXNCAAMBGAME-26MAR18PVLEH-PV,Prairie View A&M at Lehigh Winner?,7633016,,,Prairie View A&M
Miami (Ohio),Miami (Ohio),2026-03-19T03:28:38Z,2026-03-19T03:28:40Z,5365584,10470448,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR18MOHSMU,Miami (OH) at SMU,2026-03-18T20:00:00Z,,Miami (Ohio) vs SMU,both_mm,Miami (Ohio) vs SMU,SMU,SMU,0.99,6f477b30-86cf-41e5-bb9c-a6e5990baed8,game_winner,,,Miami (OH),10731168,2026-03-15T23:15:00Z,SMU,SMU,kalshi,yes,,2026-03-19T03:33:41Z,closed,Miami (OH),Miami (Ohio),KXNCAAMBGAME-26MAR18MOHSMU-MOH,Miami (OH) at SMU Winner?,20940896,,,Miami (OH)
Miami (Ohio),Miami (Ohio),2026-03-19T03:28:38Z,2026-03-19T03:28:40Z,3422058,6516630,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR18MOHSMU,Miami (OH) at SMU,2026-03-18T20:00:00Z,,Miami (Ohio) vs SMU,both_mm,Miami (Ohio) vs SMU,SMU,SMU,0.01,864f4273-d897-4efe-815e-f313c304372b,game_winner,,,SMU,6844116,2026-03-15T23:15:00Z,Miami (Ohio),Miami (Ohio),kalshi,no,,2026-03-19T03:33:41Z,closed,SMU,SMU,KXNCAAMBGAME-26MAR18MOHSMU-SMU,Miami (OH) at SMU Winner?,13033260,,,SMU
TCU,TCU,2026-03-19T18:27:39Z,2026-03-19T18:27:41Z,4412615,9120712,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TCUOSU,TCU at Ohio St.,2026-03-19T20:00:00Z,,TCU vs Ohio St.,both_mm,TCU vs Ohio State,Ohio St.,Ohio State,0.01,b4ab19ec-50eb-4a4b-bc71-f0bd4834a4f5,game_winner,,,Ohio St.,8825230,2026-03-15T22:47:00Z,TCU,TCU,kalshi,no,,2026-03-19T18:32:51Z,closed,Ohio St.,Ohio State,KXNCAAMBGAME-26MAR19TCUOSU-OSU,TCU at Ohio St. Winner?,18241424,,,Ohio St.
TCU,TCU,2026-03-19T18:27:39Z,2026-03-19T18:27:41Z,3965691,7805077,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TCUOSU,TCU at Ohio St.,2026-03-19T20:00:00Z,,TCU vs Ohio St.,both_mm,TCU vs Ohio State,Ohio St.,Ohio State,0.99,eb3289bf-0038-4f8a-a95a-d5e56b50b18b,game_winner,,,TCU,7931382,2026-03-15T22:47:00Z,Ohio St.,Ohio State,kalshi,yes,,2026-03-19T18:32:51Z,closed,TCU,TCU,KXNCAAMBGAME-26MAR19TCUOSU-TCU,TCU at Ohio St. Winner?,15610154,,,TCU
Troy,Troy,2026-03-19T18:39:27Z,2026-03-19T18:39:29Z,1268593,1647285,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TROYNEB,Troy at Nebraska,2026-03-19T20:00:00Z,,Troy vs Nebraska,both_mm,Troy vs Nebraska,Nebraska,Nebraska,0.99,c9a5ca25-922c-4952-8fd1-04c604315514,game_winner,,,Nebraska,2537186,2026-03-15T22:47:00Z,Troy,Troy,kalshi,yes,,2026-03-19T18:44:31Z,closed,Nebraska,Nebraska,KXNCAAMBGAME-26MAR19TROYNEB-NEB,Troy at Nebraska Winner?,3294570,,,Nebraska
Troy,Troy,2026-03-19T18:39:27Z,2026-03-19T18:39:29Z,2881883,3539556,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TROYNEB,Troy at Nebraska,2026-03-19T20:00:00Z,,Troy vs Nebraska,both_mm,Troy vs Nebraska,Nebraska,Nebraska,0.01,5cfcb6a1-1480-46c6-8806-fda2a294e94a,game_winner,,,Troy,5763766,2026-03-15T22:47:00Z,Nebraska,Nebraska,kalshi,no,,2026-03-19T18:44:31Z,closed,Troy,Troy,KXNCAAMBGAME-26MAR19TROYNEB-TROY,Troy at Nebraska Winner?,7079112,,,Troy
